id 	 label 	 desc 	 aliases 	 type 	 cluster_labels
P149	architectural style	architectural style of a structure or architect		wikibase-item	Other Topics
P144	based on	the work(s) used as basis for subject	copie of, fork of, derived from, extended from	wikibase-item	Other Topics
P143	imported from	source of this claim's value (use only in References section)		wikibase-item	Source
P264	record label	brand and trademark associated with the marketing of subject music recordings and music videos	label	wikibase-item	Music, Record
P1349	ploidy	ploidy of a genome		wikibase-item	Other Topics
P1346	winner	winner of an event	won by	wikibase-item	Other Topics
P1589	deepest point	point with lowest elevation in the country, region, city or area	lowest point	wikibase-item	City, Point
P1347	military casualty classification	null		wikibase-item	Other Topics
P1465	category for people who died here	category item for people who died in this location		wikibase-item	Location, Category, People
P1344	participant of	event a person was a participant in, inverse of P710	took part, took part in, participant in	wikibase-item	Other Topics
P1221	compressor type	null		wikibase-item	Other Topics
P1464	category for people born here	category item that groups people born in this place		wikibase-item	Place, Category, People
P1343	described by source	dictionary or encyclopaedia where this item is described		wikibase-item	Source
P1582	natural product of taxon	links a natural product with its source (animal, plant, fungal, algal, etc)		wikibase-item	Source, Taxon, Animal
P1340	eye color	color of the irises of a person's eyes	eye colour	wikibase-item	Color
P1462	standards body	body or organisation responsible for publication and maintenance of standard	standards organisation, standards setting organization, standards setting organisation, standards developing organization, standards developing organisation	wikibase-item	Set
P272	production company	company that produced this film, audio or performing arts work	film studio, studio, motion picture studio, movie studio, production house, theatre company, theater company, theatrical troupe, ballet company, broadcasting company	wikibase-item	Film, Company, Producer
P150	contains administrative territorial entity	(list of) direct subdivisions of an administrative entity	contains, consists of, divides into, divided into, composed of, has towns, has shires, has cities, has rural cities, has municipalities, has wards, has local government areas, has districts, has boroughs, has administrative division, comprises, subdivided into, has counties	wikibase-item	Administrative, City, Territory
P137	operator	organization that operates the service, facility, ship, aircraft, missile	service operator, facility operator, operated by, managed by, user, administrator	wikibase-item	Administrative, Aircraft
P136	genre	genre of a creative work or genre in which an artist works	music genre, film genre	wikibase-item	Music, Film
P138	named after	entity or event that inspired the subject's name, or namesake (in at least one language)	eponym, named for, namesake, etymology	wikibase-item	Language
P375	space launch vehicle	rocket or other vehicle for launching subject payload into space	carrier rocket, launch vehicle	wikibase-item	Other Topics
P495	country of origin	country of origin of the creative work or subject item	place of origin	wikibase-item	Place, Origin
