propId , label , description , aliases ,  type , count
P1403,original combination,for animals: the combination (binomen or trinomen) where the species-group name used in this taxon name was first published,,wikibase-item,246
P1406,script directionality,direction that a writing system goes in,,wikibase-item,8
P1408,licensed to broadcast to,place that a radio/TV station is licensed/required to broadcast to,"city of license, community of license",wikibase-item,27
P141,IUCN conservation status,conservation status assigned by the International Union for Conservation of Nature,,wikibase-item,73328
P1411,nominated for,"award nomination received by a person, organisation or creative work (inspired from ""award received"" (Property:P166))","nominee for, nomination received",wikibase-item,1438
P1412,languages spoken or published,language(s) that a person speaks or writes. Can include native languages,"languages spoken, language spoken, language of expression, languages of expression",wikibase-item,61028
P1414,GUI toolkit or framework,framework or toolkit a program uses to display the graphical user interface,,wikibase-item,127
P1416,affiliation,organization that a person is affiliated with,,wikibase-item,68
P1419,shape,geometric shape of an object,,wikibase-item,118
P1420,taxon synonym,synonym(s) of the taxon name,,wikibase-item,231
P1423,template's main topic,primary topic of the subject template or infobox,infobox's main topic,wikibase-item,157
P1424,topic's main template,primary infobox or navigational template of this subject,topic's main infobox,wikibase-item,100
P1425,ecoregion (WWF),ecoregion of the item (choose from WWF's list),,wikibase-item,1
P1427,journey origin,"starting place of this journey, flight, voyage, trek, etc. (excl. spaceflight launch)","flight origin, start location",wikibase-item,121
P1429,pet,pet that a person owns,,wikibase-item,16
P143,imported from,source of this claim's value (use only in References section),,wikibase-item,765
P1431,executive producer,executive producer of a movie or TV show,,wikibase-item,158
P1432,b-side,song/track which is the b-side of this single,,wikibase-item,2
P1433,published in,larger work that a given work was published in,work,wikibase-item,5722
P1434,describes the fictional universe,"the subject is a work describing a fictional universe, ie where the plot occurs in this universe.","describes fictional universe, fictional universe",wikibase-item,441
P1435,heritage status,the heritage status of a historical site,"designation, listing, listed status, protected status, protection, legal protection, heritage designation",wikibase-item,168464
P144,based on,the work(s) used as basis for subject,"copie of, fork of, derived from, extended from",wikibase-item,7815
P1441,present in work,work in which this fictional entity (Q14897293) is present. See also P:1080 for in-universe information,"from work, from narrative, featured in work",wikibase-item,5766
P1444,journey destination,"intended destination for this journey, flight, sailing, exploration, etc.",destination,wikibase-item,107
P1445,fictional universe described in,"to link a fictional universe with a work that describes it: <universe> ""described in the work:"" <work>",,wikibase-item,93
P1454,legal form,legal form of an organization,business entity,wikibase-item,405
P1455,list of works,link to the article with the works of a person,bibliography,wikibase-item,42
P1456,list of monuments,link to the list of heritage monuments in the place/area,,wikibase-item,4212
P1462,standards body,body or organisation responsible for publication and maintenance of standard,"standards organisation, standards setting organization, standards setting organisation, standards developing organization, standards developing organisation",wikibase-item,221
P1464,category for people born here,category item that groups people born in this place,,wikibase-item,16324
P1465,category for people who died here,category item for people who died in this location,,wikibase-item,8119
P1478,has immediate cause,"nearest, proximate thing that directly resulted in this outcome or effect. Used in conjunction with 'has cause' (i.e. underlying cause) and 'has contributing factor'. See 'Help:Modeling causes'.","has immediate causes, immediate cause, immediate effect of, immediate result of, immediate outcome of, has proximate cause",wikibase-item,39
P1479,has contributing factor,"thing that significantly influenced, but did not directly cause, this outcome or effect.  Used in conjunction with 'has cause' and 'has immediate cause'.  See 'Help:Modeling causes'.","has contributing factors, contributing factor, significant contributing factor",wikibase-item,24
P149,architectural style,architectural style of a structure or architect,,wikibase-item,17753
P150,contains administrative territorial entity,(list of) direct subdivisions of an administrative entity,"contains, consists of, divides into, divided into, composed of, has towns, has shires, has cities, has rural cities, has municipalities, has wards, has local government areas, has districts, has boroughs, has administrative division, comprises, subdivided into, has counties",wikibase-item,860305
P1531,parents of hybrids,,,wikibase-item,8
P1532,country for sport,country a person represents when playing a sport,sports nationality,wikibase-item,18
P1533,family name identical to this first name,last name that is the same as a given first name. Use on items for given names.,"related surname, related family name",wikibase-item,501
P1534,end cause,qualifier for the end date property (P582),,wikibase-item,3
P1535,used by,"person or organization that uses a given object, for buildings use P466",,wikibase-item,34
P1536,immediate cause of,immediate cause of this effect,,wikibase-item,1
P1537,contributing factor of,"thing that is significantly influenced by this cause, but does not directly result from it.  See 'Help:Modeling causes' for examples and discussion.",,wikibase-item,3
P1542,cause of,effect of this cause; inverse of has cause (P828). See 'Help:Modeling causes' for examples and discussion.,"has effect, effect, has result, result, has outcome, outcome, has symptom, symptom, consequence",wikibase-item,34
P1546,motto,description of the motto of the subject,,wikibase-item,11
P1547,depends on,subject software depends on object software,dependency,wikibase-item,4
P155,follows,"The immediately prior item in some series of which the subject is part. Use P1365 (replaces) if the preceding item was replaced, e.g. political offices, states and there is no identity between precedent and following geographic unit","succeeds to, previous is, before was, predecessor, preceded by, prequel",wikibase-item,199210
P1552,has quality,the entity has an inherent or distinguishing non-material characteristic that cannot be migrated,"trait, inherent property, attribute, aspect",wikibase-item,55
P1557,manifestation of,this is the physical embodiment of a given concept,,wikibase-item,14
P1558,tempo marking,indication about the speed or pace of a given musical piece,,wikibase-item,17
P156,followed by,"The immediately following item in some series of which the subject is part. Use P1366 (succeeded by) if the item is replaced, e.g. political offices, states","sequel, successor, succeded by, next is",wikibase-item,198917
P1560,given name version for other gender,"equivalent name (with respect to the meaning of the name) in the same language: female version of a male first name, male version of a female first name. Add primarily the closest matching one",,wikibase-item,264
P1568,domain,subset of the input set of a function for which every value has an image,,wikibase-item,5
P157,killed by,person who killed the subject,"killer, assassin, murderer, murdered by, executioner, assassinated by, slain by, mortally wounded by, executed by, slaughtered by",wikibase-item,329
P1571,codomain,codomain of a function,,wikibase-item,7
P1574,exemplar of,"property for manuscripts, autographs, incunabula, distinct printed copies",,wikibase-item,76
P1576,lifestyle,"typical way of life of an individual, group, or culture",,wikibase-item,580
P1582,natural product of taxon,"links a natural product with its source (animal, plant, fungal, algal, etc)",,wikibase-item,75
P1589,deepest point,"point with lowest elevation in the country, region, city or area",lowest point,wikibase-item,2
P159,headquarters location,specific location where an organization's HQ is or has been situated,"head office location, HQ, garrison, admin HQ",wikibase-item,15039
P1591,defendant,"person or organization accused, at a trial",,wikibase-item,4
P1592,prosecutor,"person representing the prosecuting authority, at a trial",,wikibase-item,4
P1593,defender,"Person representing the defendant, at a trial",,wikibase-item,1
P1594,judge,"Judge, magistrate or equivalent, presiding at a trial",,wikibase-item,1
P1595,charge,"offence with which someone is charged, at a trial",,wikibase-item,4
P1596,penalty,"penalty passed, at a trial",,wikibase-item,3
P1597,Slovene Cultural Heritage designation,type of cultural heritage as designated by the Slovene Cultural Heritage Registry (RKD),,wikibase-item,1454
P1598,consecrator,bishop who presided as consecrator or co-consecrator of this bishop,consecrated by,wikibase-item,84
P16,highway system,system of which the highway is a part,,wikibase-item,18856
P1604,biosafety level,level of the biocontainment precautions required to isolate dangerous biological agents,,wikibase-item,1
P1605,has natural reservoir,host species for the pathogen in which it is endemic,natural reservoir,wikibase-item,2
P1606,natural reservoir of,pathogen of which this species is a long-term host,,wikibase-item,1
P161,cast member,"production's cast members; to add the roles, use ""character role"" (P453) as qualifier","film starring, actor, actress, starring",wikibase-item,572590
P1611,NATO code for grade,NATO Code for Grades of Military Personnel,,wikibase-item,27
P162,producer,"producer(s) of this film or music work (film: not executive producers, associate producers, etc.)",record producer,wikibase-item,43630
P1620,plaintiff,the party who initiates a lawsuit,"claimant, pursuer",wikibase-item,4
P1622,drives on the,the direction that cars drive in a given country,,wikibase-item,7
P1625,has melody,this work has the melody of the following work,"to the tune of, TTTO",wikibase-item,1
P1629,subject item of this property,item corresponding exactly to the concept represented by the property (use in statements on properties),"item, represents, subject item",wikibase-item,415
P163,flag,subject's flag,,wikibase-item,1885
P1637,undercarriage,type of aircraft landing gear the item is equipped with,"landing gear, aircraft landing gear, aircraft undercarriage",wikibase-item,81
P1639,pendant of,"other work in a pair of opposing artworks, such as wedding portraits, commissioned together, but not always",pendant to,wikibase-item,161
P1640,curator,content specialist responsible for this collection,"has curator, keeper",wikibase-item,1
P1652,referee,referee or umpire of a match,umpire,wikibase-item,8
P1654,wing configuration,configuration of wing(s) used by an aircraft,,wikibase-item,509
P1656,unveiled by,"person who unveils a statue, sculpture, memorial or plaque, etc.",,wikibase-item,2
P1657,MPAA film rating,US film-rating system,,wikibase-item,11
P166,award received,"award or recognition received by a person, organisation or creative work","prize received, awards, honorary title, recognition title, award, honours, honors, medals",wikibase-item,282664
P1660,has index case,"primary case, patient zero: initial patient in the population of an epidemiological investigation",,wikibase-item,1
P167,structure replaced by,"the item which replaced this building or structure, at the same geographic location",replaced by,wikibase-item,57
