propId , label , description , aliases ,  type , count
P703,found in taxon,the taxon in which the molecule or substance can be found,species,wikibase-item,109231
P706,located on terrain feature,"located on the specified landform or body of water. Should not be used when the value is only political/administrative (provinces, states, countries, etc.).","takes place in, location, on geographical feature, on natural feature, is on, is in",wikibase-item,8417
P707,satellite bus,general model on which multiple-production satellite spacecraft is based,,wikibase-item,7
P708,diocese,administrative division of the church to which the element belongs,,wikibase-item,4465
P710,participant,"person, group of people or organization that actively takes/took part in the event","artist, artists, performer, performers, participants, athlete, athletes, attendee, player, team, competitor, candidate, party, event participant, agent",wikibase-item,10715
P720,asteroid spectral type,"spectral classifications of asteroids based on  spectral shape, color, and albedo",,wikibase-item,370
P725,voice actor,"the person who dubbed a role of a creative work (like TV series, movie or video game)","voice dubber, dubbed by, VO, Seiyu, voiced by, CV",wikibase-item,1217
P726,candidate,person or party listed as an option for office in an election,,wikibase-item,467
P734,surname,surname or last name of a person,"last name, family name, has surname",wikibase-item,110021
P735,given name,first name or another given name of this person. Values used with the property shouldn't link disambiguations nor family names.,"forename, first name, personal name, christian name, middle name",wikibase-item,1896107
P736,cover artist,"name of person or team creating cover artwork for album, single, book, etc.",,wikibase-item,194
P737,influenced by,"this person, idea, etc. is informed by that other person, idea, etc., e.g. ""Heidegger has influence Aristotle"".  Inverse of 'influence of' (P738).","informed by, inspired by, has influence",wikibase-item,362
P738,influence of,"this person, idea, etc. informs that other person, idea, etc., e.g. ""Aristotle influence of Heidegger"".  Inverse of 'influenced by' (P737).","influences, informs, influenced, informed, inspired",wikibase-item,218
P739,ammunition,cartridge or other ammunition used by the subject weapon,cartridge,wikibase-item,1758
P740,location of formation,location where a group or organization was formed,"originates from, comes from, source, place of foundation, founded in",wikibase-item,741
P741,playing hand,hand used to play tennis,,wikibase-item,2264
P744,asteroid family,population of asteroids that share similar proper orbital elements,,wikibase-item,86
P747,edition(s),linking to an edition of this item,"has edition, editions",wikibase-item,1275
P748,appointed by,"who appointed the person to the office, can be used as a qualifier",,wikibase-item,315
P749,parent company,"a parent company of an organisation, opposite of subsidiaries (P355)","subsidiary of, owned by",wikibase-item,1164
P750,distributor,distributor of a creative work,distributed by,wikibase-item,1394
P751,introduced feature,which feature was introduced by this version of a product item,,wikibase-item,25
P756,removed feature,which feature was removed by this version of a product item,,wikibase-item,1
P765,surface played on,the surface on which the tournament is played,,wikibase-item,998
P767,contributor,person or organization that contributed in the creation of a creative work,,wikibase-item,1046
P768,electoral district,"For members of legislative bodies (local or national), the electoral district the person is representing","constituency, ward, riding",wikibase-item,19
P769,significant drug interaction,"a clinically significant interaction between two pharmacologically active substances (i.e., drugs and/or active metabolites) where concomitant intake can lead to altered effectiveness or adverse drug events.",,wikibase-item,1837
P770,cause of destruction,item which caused the destruction of the subject item,,wikibase-item,75
P78,top-level domain,Internet domain name system top-level code,TLD,wikibase-item,304
P780,symptoms,the possible symptoms of a medical condition,signs,wikibase-item,94
P784,mushroom cap shape,,,wikibase-item,2
P785,hymenium attachment,how the hymenium of the mushroom attaches to the stem,,wikibase-item,1
P786,stipe character,indicates if a mushroom has a universal or partial veil,,wikibase-item,1
P787,spore print color,color of a mushroom spore print (see documentation for allowed values),,wikibase-item,2
P788,mushroom ecological type,,,wikibase-item,3
P789,edibility,whether something can be eaten or not,"Mushroom edibility, Palatiblity",wikibase-item,1
P790,approved by,item is approved by other item(s) [qualifier: statement is approved by other item(s)],,wikibase-item,17
P793,significant event,significant or notable events associated with the subject,"key event, key incident, significant incident, notable event, notable incident, event",wikibase-item,6740
