Reference Item 	 Label 
Q1964631	Giovanni Fabbri	1
Q19648174	null	1
Q1964821	Karel VI of Schwarzenberg	1
Q19648359	Kleine Geschichte des Bistums Aachen	14
Q1965123	German submarine U-514	1
Q19659280	The Public Figure	9
Q19661941	Mammalia from the Malay archipelago II.: Rodentia, Insectivora, Chiroptera.	3
Q19662348	null	686
Q19669235	Samuel Crawford: From Surgeon to Soldier	3
Q19670738	Caroli a Linné ... Systema naturae per regna tria naturae : secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis.	1
Q19671214	The DisGeNET Association Type Ontology	5
Q19672216	Versuch einer natürlichen Anordnung der Nagethiere (Rodentia)	2
Q1967386	Charlotte Zolotow	1
Q19675	musée du Louvre	2
Q1967876	National Library of the Czech Republic	14
Q19678983	Analytical Psychology and German Classical Aesthetics: Goethe, Schiller, and Jung, Volume 1: The Development of the Personality	1
Q1968379	Yiddish Wikipedia	2
Q19687836	null	2
Q1968832	RMS Oceanic	2
Q19689518	Beitrag zur Kenntnis der Sciurus-Arten von Celebes	2
Q19693196	Leben und Sterben unserer jüdischen Mitbürger in Königswinter (1st edition)	4
Q19694057	Education in Hong Kong, 1941 to 2001	1
Q1969431	Aleš Debeljak	1
Q19694601	Skulpturen und Objekte im öffentlichen Raum der Bundeshauptstadt Bonn (online edition)	11
Q19694628	Skulpturen und Objekte im öffentlichen Raum der Bundeshauptstadt Bonnː Teil 2	10
Q19698108	summitsearch.org	1
Q19698487	null	2
Q19704915	Origins of Hong Kong Street Names	88
Q19705737	null	4
Q19709116	null	70
Q1970945	Albright–Knox Art Gallery	4
Q197155	Eileen Chang	1
Q19720191	null	8
Q19721750	Mary Hoxie Jones	1
Q1972275	Gna!	1
Q1972502	Nayla Hayek	1
Q1972824	Ketevan of Mukhrani	1
Q19728793	A History of the University of Pennsylvania from Its Foundation to A. D. 1770	29
Q19735223	History of Gardner, Massachusetts, from its earliest settlement to 1860	1
Q19747131	GAA Family Silver	12
Q1975217	Armenian Wikipedia	1059
Q1975265	Statute of Autonomy of Catalonia 2006	1
Q19753501	Anagrafe delle biblioteche italiane	61
Q19753589	Kritikatur	4
Q19754189	null	3
Q19754296	Stephanie Edwards Quits 'AM America'	1
Q19755	International Air Transport Association	1
Q1975835	Deccan Chronicle	1
Q19758540	null	57
Q19758570	null	2
Q19758794	null	8
Q19760040	null	7
Q19760079	null	28
Q19760087	null	1
Q19760088	null	1
Q19760247	null	6
Q19760269	null	10
Q19760341	null	9
Q19760749	null	5
Q19760785	null	6
Q197615	Koxinga	1
Q19762524	null	12
Q19762528	null	9
Q19768255	null	8
Q19768335	Exzavier Whitley	1
Q19768346	Who's who in Pennsylvania: A Biographical Dictionary of Contemporaries	3
Q19768349	University of Pennsylvania	2
Q19771	G-20 major economies	1
Q19771621	Prodromus systematis mammalium et avium	2
Q19772228	null	2
Q19772229	null	4
Q19773706	British Columbia Act, 1866	1
Q19786038	First quarter centennial of Boston university: Program and addresses	1
Q1978859	null	1
Q1979	Prince Edward Island	1
Q19796599	null	10
Q19796630	null	6
Q19796643	null	6
Q19796699	null	6
Q19796700	null	16
Q19798855	Synopsis of the species of American squirrels in the collection of the British Museum	5
Q19800038	Meridian Magazine	1
Q198005	Aurélie Filippetti	1
Q19800915	Recherches sur les écureuils africains	2
Q19801038	worldreferee.com	1
Q19801308	Our Airports	1
Q19801647	Multigenic and morphometric differentiation of ground squirrels (Spermophilus, Scuiridae, Rodentia) in Turkey, with a description of a new species	1
Q19801920	Relationship among living squirrels of the Sciurinae	2
Q19803221	null	2
Q19803222	null	2
Q19803485	Bradford City : a complete record, 1903-1988	1
Q19810421	null	1
Q19810444	null	1
Q1981192	Michèle Auclair	1
Q19816560	Grassbase	1
Q19816818	null	1
Q198313	Ziaur Rahman	1
Q198486	Zidanta II	1
Q198487	Zidanta I	1
Q1985017	null	2
Q1988120	Pokémon Yellow	23
Q1989413	Nieuw Nederlandsch Biografisch Woordenboek	16
Q1990	2012	1
Q199296	Ziff Davis	5
Q199438	Nemean lion	3
Q199482	Ahmed III	2
Q1995253	ArchNet	1
Q1995861	Charles-Wilfrid de Bériot	1
Q199633	Selim III	1
Q1996835	International recognition of Abkhazia and South Ossetia	2
Q199693	Catalan Wikipedia	69582
Q199698	Ukrainian Wikipedia	49683
Q199700	Arabic Wikipedia	15454
Q1997988	Joanna Trollope	1
Q199827	Murad V	1
Q199830	Mustafa IV	1
Q199864	Romanian Wikipedia	11058
Q199897	Medical Subject Headings	56
Q199913	Hebrew Wikipedia	9514
Q1999150	Bestuzhev Courses	1
Q1999447	Steve Johnson	1
Q20	Norway	1
Q2000274	Gus Goose	1
Q200060	Estonian Wikipedia	12340
Q200180	Vietnamese Wikipedia	24210
Q200183	Simple English Wikipedia	1672
Q2002648	HMS Bridport	2
Q2003024	Taxon	3
Q200382	Phorcys	1
Q200386	Serbian Wikipedia	21512
Q2006191	Leonor de Aragón y de Castilla	1
Q2006270	Tāwhirimātea	2
Q201054	International Maritime Organization	1
Q2012487	Vairë	1
Q2012699	Philip of Castile	1
Q2013	Wikidata	4
Q201303	Tigranes the Great	1
Q201330	goalkeeper	1
Q2013965	Renée DuMonde	1
Q201492	McGill University	1
Q2015138	salmon	1
Q201603	Simon Fraser University	2
Q2016182	null	1
Q201639	USS Kidd	2
Q201732	Robert Graves	3
Q2017499	null	1
Q201904	Qt	1
Q202097	Roisel	1
Q2023844	Ondřej Soukup	1
Q202472	Lithuanian Wikipedia	5989
Q202660	Collège de France	3
Q202670	Miloslav Hořava	1
Q20280	Seoul Subway Line 1	9
Q2029200	HMS Göta Lejon	2
Q2029239	Mingrelian Wikipedia	1
Q2029273	Boletín Oficial del Estado	3
Q2029483	USS Monaghan	1
Q2029488	USS Porter	1
Q2029582	Orendel von Gemmingen	1
Q20301	Bupyeong-gu Office Station	1
Q2033788	Raymond Depardon	1
Q203443	Headstone	3
Q203453	Westdeutscher Rundfunk	1
Q203488	Croatian Wikipedia	90
Q2035097	Greek destroyer Aetos	1
Q2035199	Japanese destroyer Wakatsuki	1
Q2035565	Chakrabongse Bhuvanadh	1
Q2036006	Alexander II of Imereti	1
Q203792	Robert Guiscard	1
Q2038492	Otto Dietrich von Gemmingen	1
Q203853	Nice-Matin	2
Q20388	Sinbundang Line	13
Q20391	Seoul Metro Line 3	13
Q2039178	Otto Hess	1
Q2039182	Otto Hess	1
Q20393	Seoul Subway Line 3	1
Q203934	Panhellenic Socialist Movement	1
Q2041190	Otto von Gemmingen	1
Q20415	Seoul Station	3
Q204205	Sonja Henie	2
Q2043271	Harriet McDougal	1
Q2043282	business administration	1
Q204369	Zindzi Mandela	1
Q2044203	Rostom of Kartli	1
Q2045645	Pokémon Emerald	26
Q204590	Christian Slater	1
Q2045965	Padma Sachdev	1
Q2047848	Ministry of Foreign Affairs (Belarus)	3
Q2048310	Hendrik II van Mierlo	2
Q204839	Xinhua News Agency	3
Q205139	Carl Nielsen	1
Q2052417	Paris Agreements	1
Q2054736	Hōjō Nakatoki	1
Q2056633	Anne Julie de Melun	1
Q2057307	Ruprecht IV, Count of Nassau	1
Q205739	Alan Moore	1
Q2059605	Elizabeth Seymour, Lady Cromwell	2
Q206033	Google Books	5
Q2060421	Margery Wentworth	1
Q2060512	USS Independence	1
Q206087	Jaroslav Fragner	1
Q2061228	Executive Order of the President of Russia	2
Q206123	Harald Fairhair	1
Q206171	Scottish Parliament	1
Q206187	Aeacus	1
Q2062091	Campti	1
Q2064	1990	1
Q2064640	Pavel Oliva	1
Q2066079	USS Salt Lake City	1
Q2066131	sportsperson	1
Q2066558	Dalfi d'Alvernha	1
Q2066739	San Zeno Altarpiece	1
Q2068	1995	2
Q206855	Russian Wikipedia	1702607
Q206916	Sophia Bush	1
Q206923	ES	2
Q2071228	Pavel Hašek	1
Q2071388	Perlentaucher	2
Q207184	news release	2
Q207191	John C. Calhoun	1
Q2071913	Perses	2
Q2072385	Khalifa bin Hamad al-Thani	1
Q207260	Basque Wikipedia	11816
Q207356	William Saroyan	1
Q2074027	Samuel H. Kress Foundation	1
Q2074482	Hōjō Kanetoki	1
Q207544	L. Frank Baum	1
Q2075721	Moira Harris	1
Q207708	IGN	6
Q207784	Square Enix	1
Q2078145	Pigeon Forge, Tennessee	1
Q2079	Leipzig	2
Q207969	Eric Roberts	1
Q2079728	Peterson Toscano	1
Q2080143	Foch	1
Q208017	Akrisios	1
Q208082	Robert I of France	1
Q208116	Sergey Mikhalkov	1
Q2081526	Uzbek Wikipedia	4
Q2082831	Le Gaulois	58
Q208301	Khalid of Saudi Arabia	1
Q208408	Tim Allen	1
Q208468	Taslima Nasrin	1
Q208533	Albanian Wikipedia	466
Q2085338	Vahan I Mamikonian	1
Q208591	Anna Lindh	1
Q208615	Mary, Crown Princess of Denmark	1
Q208663	William Pitt, 1st Earl of Chatham	1
Q2087374	Philipp von Gemmingen	1
Q2087492	Philippe Henri, marquis de Ségur	1
Q208875	The Sun	1
Q208894	József Szinnyei	7
Q2091902	Doniawerstal	1
Q209330	Instagram	1
Q2094010	Declaration of State Sovereignty of the Belarusian Soviet Socialist Republic	1
Q2094314	Italian battleship Andrea Doria	1
Q2094650	Mickey Horton	1
Q209489	Ceto	1
Q2095057	lead ship	641
Q2095882	Pinklao	2
Q2095943	Maria Bilders-van Bosse	1
Q2095955	The Courier-Mail	1
Q209662	Lucille Ball	1
Q209720	2 Chronicles	4
Q209746	2 Kings	19
Q2097993	Horst, Limburg	1
Q2099215	Pleikard von Gemmingen	1
Q2099217	Pleikard von Gemmingen	1
Q21	England	1
Q2103	Bochum	6
Q2103691	null	1
Q210680	HMS Ark Royal	1
Q21098	Bloodhound	1
Q211	Latvia	1
Q211111	Ursula Andress	1
Q2111591	Zeelandic Wikipedia	1
Q2113001	Headline Daily	1
Q211483	Rajendra Chola I	1
Q2114866	De Friese Meren	4
Q2115162	Le Petit Journal	1
Q211658	USS Ronald Reagan	1
Q211763	William Holman Hunt	2
Q2117742	CricketArchive	24
Q2117747	Western New York Flash	1
Q2118306	geography of Scotland	1
Q2118845	ESPNcricinfo	5
Q2119365	Enrico Falck	1
Q212	Ukraine	1
Q212064	Channing Tatum	1
Q212101	Social Democrats	2
Q2121213	Sami Brady	1
Q2121694	1960 United States Census	1
Q2121710	1980 United States Census	1
Q212173	Roger Ebert	3
Q2122653	P31	1
Q212277	Theodor Pištěk	1
Q212329	Academy of Motion Picture Arts and Sciences	8
Q212657	Artemisia Gentileschi	1
Q212746	Anglo-Saxon Chronicle	1
Q212818	Phaedra	3
Q2128678	Rajadhiraja Chola	1
Q212928	International Ski Federation	1
Q213	Czech Republic	5
Q213163	Louise Élisabeth Vigée Le Brun	1
Q2132798	Stephanie Forrester	1
Q213425	Danny Kaye	1
Q213440	Tyche	2
Q2134665	null	1
Q213535	Jiří Antonín Benda	1
Q213660	LinkedIn	12
Q213678	Vatican Library	1
Q213687	August Batsch	1
Q2136977	The Jakarta Post	4
Q2137453	Regensburg Classification	2
Q213758	Pachacuti	1
Q2137649	Cabinet of Liechtenstein	2
Q2137845	Regina Beyer	1
Q214	Slovakia	1
Q2141135	Reinhard von Gemmingen-Hornberg	1
Q2141137	Reinhard von Gemmingen-Hornberg	1
Q2141141	Reinhard von Gemmingen	1
Q2141143	Reinhard von Gemmingen	1
Q214195	Istituto Nazionale di Statistica	8093
Q2143561	Renate von Wangenheim	1
Q2143996	Catalogues of Fundamental Stars	1
Q214642	Paul Auster	2
Q2146854	Reviel Netz	1
Q2148610	Ricarda Reinisch	1
Q214910	Kamehameha I	1
Q2149142	Richard Bruno Heydrich	1
Q2150090	Branislaw Tarashkyevich	1
Q2150338	Richard Palais	1
Q2150924	Odo van Dammartin	1
Q215154	Prince Carl of Solms-Braunfels	1
Q2152651	Bio.	1
Q215363	Sveriges Television	2
Q2154134	Smithsonian Institution Archives	8
Q215476	Hertha Pauli	1
Q2155442	The Verge	1
Q215569	Alain Juppé	1
Q2156420	Bohemond, Duke of Apulia	1
Q215667	Friedrich Ludwig von Moltke	1
Q215806	Heimskringla	6
Q215820	Judith Kerr	1
Q216047	Le Figaro	319
Q216205	Fred Wander	1
Q216273	University of St Andrews	1
Q2163826	Taylor Forrester	1
Q216393	Haaretz	1
Q216398	Alan Sillitoe	1
Q2165053	Rombout II Keldermans	1
Q216526	topographic map	1
Q2165545	Ron Williams	1
Q216594	Ed Miliband	2
Q2166268	Alojz Rebula	1
Q2166768	Rose Reimann-Hunziker	1
Q2167315	Journal of the History of Biology	5
Q216811	John Venn	2
Q217154	Mir-Hossein Mousavi	1
Q217228	Sky News	1
Q217305	The New Yorker	1
Q217314	John Edwards	1
Q2173602	Fujiwara no Fusasaki	1
Q217367	Rouves	1
Q217398	Berne Convention for the Protection of Literary and Artistic Works	1
Q217495	Iris Murdoch	1
Q2175052	Ruhr Nachrichten	1
Q217529	Royal coat of arms in Scotland	1
Q217557	Joyce Carol Oates	1
Q217659	Eurostat	6
Q217741	Purdue University	1
Q2177416	Rut Bryk	2
Q217776	ESPN	5
Q2177966	Ruwi	2
Q2178459	United Nations Security Council Resolution 1090	1
Q218022	Alain Resnais	1
Q218168	EN	2
Q2182453	Aurai	4
Q218309	Zofia Kossak-Szczucka	1
Q2183153	Maurits Post	1
Q2183577	NU.nl	1
Q218358	Mangpo Station	24
Q2184	Russian Soviet Federative Socialist Republic	1
Q218443	Anastasio Somoza Debayle	1
Q218628	Radama II	1
Q218718	Jay Leno	1
Q218747	Honoré Gabriel Riqueti, comte de Mirabeau	1
Q2191850	John Abbott	1
Q2193584	Kiki Sørum	1
Q219563	University of Washington	1
Q2196430	Adriana Back van Asten	1
Q2197415	Albert Henri van Ligne	1
Q2198916	Ministry of Foreign Affairs of the Republic of Serbia	2
Q22	Scotland	2
Q220018	Anaïs Nin	2
Q220078	Kingsley Amis	2
Q2201302	Gijsbrecht I van Amstel	1
Q2202186	null	1
Q220370	Zootaxa	2
Q220393	telephone directory	11
Q220509	Anime News Network	3
Q220556	Brock Lesnar	1
Q220577	Google Analytics	1
Q220693	Marilyn Chambers	1
Q220714	Ágnes Hankiss	2
Q2212536	Karel van het Reve	1
Q2214292	Komatsu-hime	2
Q221670	treaty of the Pyrenees	1
Q221718	The Seattle Times	4
Q2217419	Nicomachus	1
Q222241	Ministry of Foreign Affairs of Japan	2
Q2222478	Sanora Babb	1
Q2224174	Sara Hutzler	1
Q222662	General Catalogue of Variable Stars	30
Q222779	German submarine U-873	1
Q222784	Neue Deutsche Biographie	19
Q222944	Patrick Modiano	1
Q223025	Hua Mei	1
Q223041	International Tennis Federation	137
Q223152	Adrastus	1
Q2232418	Penn Nouth	16
Q2234707	Yang Guo	3
Q223963	Antoine Laurent de Jussieu	1
Q224159	William H. Macy	1
Q224952	suspect	1
Q2251656	Italian cruiser Muzio Attendolo	1
Q2252649	Italian cruiser Eugenio di Savoia	2
Q2253153	Maelgwn ab Owain Gwynedd	1
Q2253913	Gustaf Gabrielsson Oxenstierna	1
Q2253922	Gustaf Oxenstierna	1
Q225521	Skarsterlân	2
Q2257594	Moody Bible Institute	1
Q22599	Romentino	1
Q2261834	Italian cruiser Giuseppe Garibaldi	1
Q2265546	David XI of Kartli	1
Q2269688	Hōjō Shigetoki	1
Q2273174	USS Colorado	2
Q2274693	Pierre Cot	1
Q2274833	Setka	1
Q2275435	Cornelia Supera	1
Q227648	ADD	1
Q227823	Greek	6
Q2278468	Sherwin B. Nuland	2
Q228	Andorra	1
Q2280	Minsk	1
Q228051	NOS	2
Q2280696	Golgos	1
Q2280800	Publius Aelius Hadrianus Afer	1
Q2283	Microsoft	2
Q2285026	Sigmund von Gemmingen	1
Q2285029	Sigmund von Gemmingen-Hornberg zu Treschklingen	1
Q228582	Locus	1
Q228584	Svetlana Alliluyeva	1
Q22878	Laocoön	1
Q228862	Lena Olin	1
Q2288813	Italian National Syndicate of Film Journalists	2
Q228896	Salome	4
Q22890	Ireland	1
Q2289691	Ylenia Carrisi	2
Q2290326	Lawrence Alamain	1
Q2290619	Italian cruiser Duca degli Abruzzi	2
Q22910	Seoul Subway Line 7	3
Q2291035	Siân Busby	1
Q229184	Lily Collins	1
Q229234	Ellen Barkin	1
Q229355	Vanity Fair	1
Q2293877	Eidyia	1
Q2294502	Arcesius	1
Q2296453	Connor	1
Q2296741	Social Security Death Index	1
Q229871	Messalina	1
Q2299064	Constitution of the Netherlands	2
Q2299147	Tera Wray	1
Q2299195	Fedor Bondarchuk	1
Q230	Georgia	1
Q230001	Theodora	1
Q2300146	Hōjō Koresada	1
Q2300903	Loco	1
Q2301245	Toronto Sun	1
Q2301794	USS George Washington	1
Q230659	Irène Jacob	1
Q230716	Poppaea Sabina	2
Q230744	Anna Wintour	2
Q230747	Jacqueline Boyer	3
Q2307816	Business Standard	1
Q230846	Adriana Karembeu	1
Q2308657	Hōjō Nobutoki	1
Q2309759	Urraca of Castile, Queen of Navarre	1
Q231002	nationality	1
Q2311	Airbus Group	1
Q2311683	ChemSpider	17
Q231262	Claudia Octavia	1
Q231476	Joan of Navarre, Queen of England	1
Q23168	Minos	3
Q231851	Artemisia II of Caria	1
Q2319562	Javed Akhtar	2
Q232026	Jitō	1
Q2320780	Elin Nordegren	1
Q232101	Rachael Leigh Cook	1
Q2322736	Terri Schuester	1
Q232871	Kaʻahumanu	1
Q23308	British Library	1
Q2331	Led Zeppelin	1
Q233137	Julia Ann	1
Q23334	Abkhazia	1
Q233397	Arianna Huffington	1
Q233534	Galswintha	1
Q2335676	Louise de Rieux	1
Q233578	Bruttia Crispina	2
Q233610	Élisabeth Charlotte d'Orléans	1
Q233628	Elizabeth Monroe	1
Q233631	Agnes of France	2
Q2336781	Stefan Kolditz	1
Q2337379	Magnia Urbica	1
Q233748	Akshay Kumar	1
Q233810	Italian	1
Q2338545	Mercy Otis Warren	1
Q2339098	Tadj ol-Molouk of Iran	1
Q2339304	Ministry of Foreign Affairs and Cooperation of Spain	2
Q234017	Tammy Wynette	1
Q234043	Candice Night	1
Q2340973	Herbert Powell	1
Q234110	Europeana	7
Q2342404	Japanese submarine I-168	1
Q234289	Halide Edip Adıvar	1
Q23444	white	1
Q234525	Julia Gardiner Tyler	1
Q234535	Great Soviet Encyclopedia	39
Q234562	Galeria Valeria	1
Q2347415	Otomar Krejča	1
Q2348116	Russian Census of 2002	6
Q234818	Tagesschau	1
Q2348420	Siemowit V of Masovia	1
Q234860	Shapur II	1
Q234911	Gabrielle d'Estrées	1
Q234928	Alice Bradley Sheldon	1
Q234944	Sophia Palaiologina	1
Q2349453	Nynorsk Wikipedia	1708
Q235032	Věra Chytilová	1
Q2350460	Iko Uwais	1
Q235087	Julia Caesaris	1
Q2351827	Pokémon Crystal	16
Q2352014	Joe Morgenstern	1
Q2352024	Michael Phillips	1
Q23548	National Aeronautics and Space Administration	7
Q235494	Hipparchia of Maroneia	1
Q235505	Vita Sackville-West	1
Q2355196	Martinus Theunis Steyn	1
Q2355334	Hōjō Takatoki	1
Q2355655	Harry Crosby	1
Q2356044	Květa Fialová	1
Q2356503	Michael Specter	1
Q235788	Ada of Caria	1
Q236259	Plautia Urgulanilla	1
Q2362626	Rand al'Thor	2
Q236293	Marie of France, Countess of Champagne	1
Q236466	Herennia Etruscilla	1
Q2364772	Rati	1
Q2365965	geography of England	1
Q2366006	Heesselt	1
Q236606	Naomi Klein	1
Q2366159	Siryn	1
Q2366279	José Wilker	3
Q2366466	Ville Niinistö	1
Q23666	Great Britain	2
Q236678	Katharine, Duchess of Kent	1
Q2367308	Shimazu Takahisa	1
Q236848	Susan Cooper	1
Q2369041	Netherlands Government Information Service	1
Q236970	Beatrice of Castile	1
Q236999	Galla	1
Q237248	Philip V of Macedon	1
Q2372851	Emma Vilarasau	1
Q2373106	null	2
Q237514	Laura Ingalls Wilder	1
Q237684	Nancy Huston	1
Q237875	Naomi Wolf	1
Q2379032	null	1
Q2379348	Éric Besson	1
Q237951	Douglas Hyde	1
Q2379776	Princess Ayako of Takamado	1
Q238	San Marino	5
Q2380672	Southern German Football Association	3
Q238171	4Players	1
Q2384053	Russian battleship Peresvet	1
Q238448	Aelia Paetina	1
Q238483	Amanda Plummer	2
Q238498	Nickel	1
Q238693	Historia Regum Britanniae	1
Q239010	Domitia Longina	1
Q239015	Cornelia Salonina	1
Q2390624	Maurice Reclus	1
Q2390659	Willem Jan Otten	1
Q2391246	Tamara Ustinov	2
Q239246	Mathilde Kschessinska	1
Q2392554	Iulia Hasdeu	1
Q239303	Art Institute of Chicago	1
Q239307	Margaret Drabble	2
Q239476	Jerry Hall	1
Q23953	Maria Bard	1
Q2395507	L'Officiel	1
Q239571	Elizabeth Dole	1
Q2400919	Sun Nan	1
Q2401996	The Canadian Mineralogist	3
Q2402143	Upper Sorbian Wikipedia	186
Q2403665	null	1
Q240430	Magdalena Kožená	1
Q240467	Natasha Gregson Wagner	1
Q2404684	Tereza Brodská	1
Q2405868	Chesley Bonestell	1
Q240609	Belarusian presidential election, 2010	1
Q240679	Hercules	1
Q2407040	Adrienne Armstrong	1
Q240928	Milonia Caesonia	2
Q2410810	Nasir ud din Mahmud	1
Q241208	Isabella Lövin	1
Q2412634	Pieter Boddaert jr.	1
Q2413750	Valentine Prax	1
Q241445	Statilia Messalina	2
Q241494	Teresa Carreño	1
Q2415791	Walid ibn al-Mughira	1
Q241649	Spanish	1
Q2417442	null	1
Q2418122	Theodor Pieschel	1
Q241856	Polska	1
Q241953	Online Mendelian Inheritance in Man	1
Q241966	Ellen Terry	1
Q2419983	Iselin Steiro	1
Q2420084	Sachchidananda Vatsyayan	1
Q242199	Junia Claudilla	2
Q242351	Ivana Trump	1
Q242382	Thusnelda	2
Q242410	Malena Alterio	1
Q242436	Mindaugas	1
Q2425597	Thomas Kuczynski	1
Q2425748	Thomas Lauritsen	1
Q242643	Naomi Novik	1
Q242796	Antonia Fraser	1
Q242982	Gina Rinehart	1
Q2430	1986	1
Q2431796	Udong	1
Q2434688	Greek destroyer Nea Genea	1
Q2437780	Amlaíb Conung	1
Q2438396	Gina Von Amberg	1
Q2440521	Tomasz Strzembosz	1
Q2443844	null	1
Q244395	Seán MacBride	1
Q24445	Stefan the First-Crowned	1
Q244616	George Grenville	1
Q2447379	Olena Pchilka	1
Q2447966	Dmitri Nabokov	1
Q2448522	German submarine U-510	1
Q2448527	USS Portland	1
Q2449070	Transfermarkt	1
Q2450422	Vivian Alamain	1
Q2451336	Digital Library for Dutch Literature	18
Q245315	Liu Bei	3
Q2453222	Ingibiorg Finnsdottir	1
Q245407	Richard Bach	1
Q2454760	Russian submarine Yury Dolgorukiy	1
Q2455291	Constitution of Sint Maarten	2
Q245546	6th arrondissement of Paris	1
Q2456624	Keiko Awaji	1
Q2456886	Mykel Hawke	1
Q245966	Biblioteca Nacional de Portugal	1
Q245971	Brilliana, Lady Harley	2
Q246044	Charter for the Kingdom of the Netherlands	4
Q246072	Jane Neville	1
Q246118	Mariotta Haliburton	3
Q2461430	Turngemeinde Witten von 1848	1
Q246216	Ewa Kopacz	1
Q2462870	Jeronymus van Diest II	1
Q246293	Jiří Vaněk	1
Q2463702	Japanese destroyer Kiyoshimo	1
Q2464872	Dausprungas	1
Q2465592	Russian Constitution of 1918	1
Q2468484	USS Arlington	1
Q2468580	USS Bennington	1
Q2468755	USS Cachalot	1
Q2468974	USS Comstock	1
Q2469210	USS Dubuque	1
Q2469841	Alexander, son of Archil of Imereti	2
Q2470261	Miletus	1
Q247088	Bianca Kajlich	1
Q247120	Neo	2
Q2476071	null	1
Q2478363	null	1
Q2479307	Omroep Zeeland	1
Q2479480	George Keppel, 3rd Earl of Albemarle	1
Q248	Intel	3
Q2480421	German submarine U-1059	1
Q2482366	Christina of Denmark, Queen of Sweden	1
Q24826	Liverpool	1
Q248381	Ashikaga Yoshimitsu	1
Q248719	Melissa Rosenberg	1
Q2490432	Italian cruiser Raimondo Montecuccoli	2
Q2490665	Thorne Forrester	1
Q249075	Atari 8-bit family	1
Q2491719	null	2
Q2491891	Japanese battleship Aki	1
Q2492014	Wikimedia	2
Q249313	Camille Desmoulins	1
Q2494128	HMAS Adelaide	1
Q2494649	Union List of Artist Names	74
Q249474	GND	3
Q2498180	null	1
Q249953	Isabella, Princess of Taranto	1
Q25	Wales	1
Q2500757	Uriel von Gemmingen	1
Q2500856	Hoël I, Duke of Brittany	1
Q2502260	Briaczysław Wasilkowicz	2
Q2502306	null	3
Q2504194	Aurboða	1
Q2504228	UE Llagostera	1
Q250506	Tydeus	2
Q250588	Astraeus	1
Q2506140	Hedwig of Habsburg	2
Q2506992	Chau Sen Cocsal Chhum	2
Q2507304	AntWeb	2
Q250924	Álvaro Colom	1
Q2511738	Solomon I of Imereti	1
Q2511802	Cyngen Glodrydd	1
Q2514803	Verein für Orts- und Heimatkunde in der Grafschaft Mark	5
Q25161	Roald Dahl	1
Q251751	Michele Ferrero	1
Q2519019	Powhatan, Louisiana	1
Q2519681	Elizabeth de Burgh, 4th Countess of Ulster	1
Q2520760	Verwaltungsverfahrensgesetz	1
Q2522638	UK Official Download Chart	1
Q25231	Svalbard	1
Q2523302	Antonina Houbraken	1
Q2526255	film director	1
Q25272	ampere	1
Q2527743	J. Howard Marshall	1
Q25285	Tatar	1
Q2528769	Adèle Bloemendaal	1
Q2533514	Landtag of Vorarlberg	4
Q253395	Bella Akhmadulina	3
Q253414	FIFA	4
Q253487	Mia Sara	1
Q2536034	Jan Kobell	1
Q2536199	Vít Olmer	1
Q253875	Elizabeth Gould	1
Q2542154	Willem Drees	1
Q2542609	null	1
Q2543125	Japanese cruiser Kasuga	1
Q2543811	Zaida of Seville	1
Q2545982	Vladimir Etush	1
Q2548052	The Young One	1
Q254820	Candace Bushnell	1
Q2548323	Eleanor de Bohun	1
Q2548382	John P. Meier	1
Q254848	Yelle	1
Q255147	Yale University Press	1
Q2553334	Web NDL Authorities	12
Q2554299	Basque Government	1
Q2554504	Eleanor of Champagne	3
Q255679	Countess Georgina von Wilczek	1
Q2558680	Roland J. Green	1
Q256	Turkish	6
Q256032	Kobe Tai	1
Q256048	Lollia Paulina	1
Q2564157	Encyclopedia of Esperanto	3
Q2565164	Journal des débats	45
Q2565708	Ministry of Foreign Affairs of Iran	2
Q256638	Princess Carolina of Orange-Nassau	1
Q25666	Österreichisches Biographisches Lexikon 1815–1950	11
Q2567128	Marie de Courtenay	1
Q2567271	Who's Who	3
Q256738	Linn Ullmann	1
Q2567503	Noël Leslie, Countess of Rothes	1
Q256776	Maria Bonnevie	1
Q2568695	Ministry of Foreign Affairs of Georgia	2
Q2568965	Rían	1
Q2569521	De Fructibus et Seminibus Plantarum	2
Q2572655	Aristocreon	1
Q257321	Ishak-bey Kraloglu	2
Q257452	Weng Tojirakarn	1
Q2574568	Lucas Oldenhuis Gratama	1
Q2574835	MycoBank	1
Q2575643	null	1
Q257587	Eleanor of Prussia	1
Q2575883	Wilhelm von Gemmingen	1
Q257811	Chimalpopoca	1
Q257844	Ivor Forbes Guest	1
Q2578548	Tropicos	318431
Q2578848	Stephen Ostoja of Bosnia	3
Q258139	Béatrice Schönberg	1
Q2581779	Kaumualii	1
Q2582603	Mexican Space Agency	1
Q2583137	Siemowit V of Masovia	1
Q2583326	USS Canberra	1
Q2587255	Sanskrit Wikipedia	1
Q258741	Anna Sewell	1
Q2587539	WMX	1
Q2588354	null	2
Q2588849	Wolf von Gemmingen	1
Q258960	Karolina Světlá	1
Q2589736	Wolfgang Greese	1
Q2590088	Germplasm Resources Information Network	1
Q259197	Dansk kvindebiografisk leksikon	3
Q2594607	Rogvolod Vseslavich	1
Q2596658	Japanese destroyer Oyashio	1
Q2596865	Alekna Sudimantaitis	1
Q2597810	SUDOC	405
Q2599521	L'Aurore	3
Q2599873	Yağmur Atsız	1
